path,category,reason
Upgrading/CustomRenderer/MultiProject/Entry/iOS/Resources/Icon-60@2x.png,resource-binary,App icon / image / font asset
Upgrading/CustomRenderer/MultiProject/Entry/iOS/Resources/Icon-76.png,resource-binary,App icon / image / font asset
Upgrading/CustomRenderer/MultiProject/Entry/iOS/Resources/Icon-76@2x.png,resource-binary,App icon / image / font asset
Upgrading/CustomRenderer/MultiProject/Entry/iOS/Resources/Icon-Small-40.png,resource-binary,App icon / image / font asset
Upgrading/CustomRenderer/MultiProject/Entry/iOS/Resources/Icon-Small-40@2x.png,resource-binary,App icon / image / font asset
Upgrading/CustomRenderer/MultiProject/Entry/iOS/Resources/Icon-Small.png,resource-binary,App icon / image / font asset
Upgrading/CustomRenderer/MultiProject/Entry/iOS/Resources/Icon-Small@2x.png,resource-binary,App icon / image / font asset
Upgrading/CustomRenderer/MultiProject/Entry/upgrade-assistant.clef,tooling-output,.NET Upgrade Assistant output preserved as evidence
Upgrading/CustomRenderer/MultiProject/README.md,documentation,Active sample documentation
Upgrading/CustomRenderer/README.md,documentation,Active sample documentation
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.sln,reference-xamarin-build,Archived Xamarin project descriptor (excluded from CI)
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.Android/Assets/AboutAssets.txt,reference-xamarin,Archived Xamarin project source kept for before/after comparison
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.Android/MainActivity.cs,reference-xamarin,Archived Xamarin project source kept for before/after comparison
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.Android/Properties/AndroidManifest.xml,reference-xamarin,Archived Xamarin project source kept for before/after comparison
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.Android/Properties/AssemblyInfo.cs,reference-xamarin,Archived Xamarin project source kept for before/after comparison
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.Android/Renderers/PressableViewRenderer.cs,reference-xamarin,Archived Xamarin project source kept for before/after comparison
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.Android/Resources/AboutResources.txt,reference-xamarin-resource,Archived Xamarin project resource
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.Android/Resources/mipmap-anydpi-v26/icon.xml,reference-xamarin-resource,Archived Xamarin project resource
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.Android/Resources/mipmap-anydpi-v26/icon_round.xml,reference-xamarin-resource,Archived Xamarin project resource
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.Android/Resources/mipmap-hdpi/icon.png,reference-xamarin-resource,Archived Xamarin project resource
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.Android/Resources/mipmap-hdpi/launcher_foreground.png,reference-xamarin-resource,Archived Xamarin project resource
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.Android/Resources/mipmap-mdpi/icon.png,reference-xamarin-resource,Archived Xamarin project resource
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.Android/Resources/mipmap-mdpi/launcher_foreground.png,reference-xamarin-resource,Archived Xamarin project resource
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.Android/Resources/mipmap-xhdpi/icon.png,reference-xamarin-resource,Archived Xamarin project resource
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.Android/Resources/mipmap-xhdpi/launcher_foreground.png,reference-xamarin-resource,Archived Xamarin project resource
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.Android/Resources/mipmap-xxhdpi/icon.png,reference-xamarin-resource,Archived Xamarin project resource
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.Android/Resources/mipmap-xxhdpi/launcher_foreground.png,reference-xamarin-resource,Archived Xamarin project resource
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.Android/Resources/mipmap-xxxhdpi/icon.png,reference-xamarin-resource,Archived Xamarin project resource
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.Android/Resources/mipmap-xxxhdpi/launcher_foreground.png,reference-xamarin-resource,Archived Xamarin project resource
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.Android/Resources/values/colors.xml,reference-xamarin-resource,Archived Xamarin project resource
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.Android/Resources/values/styles.xml,reference-xamarin-resource,Archived Xamarin project resource
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.Android/XamarinCustomRenderer.Android.csproj,reference-xamarin-build,Archived Xamarin project descriptor (excluded from CI)
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.iOS/AppDelegate.cs,reference-xamarin,Archived Xamarin project source kept for before/after comparison
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.iOS/Assets.xcassets/AppIcon.appiconset/Contents.json,reference-xamarin-resource,Archived Xamarin project resource
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.iOS/Assets.xcassets/AppIcon.appiconset/Icon1024.png,reference-xamarin-resource,Archived Xamarin project resource
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.iOS/Assets.xcassets/AppIcon.appiconset/Icon120.png,reference-xamarin-resource,Archived Xamarin project resource
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.iOS/Assets.xcassets/AppIcon.appiconset/Icon152.png,reference-xamarin-resource,Archived Xamarin project resource
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.iOS/Assets.xcassets/AppIcon.appiconset/Icon167.png,reference-xamarin-resource,Archived Xamarin project resource
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.iOS/Assets.xcassets/AppIcon.appiconset/Icon180.png,reference-xamarin-resource,Archived Xamarin project resource
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.iOS/Assets.xcassets/AppIcon.appiconset/Icon20.png,reference-xamarin-resource,Archived Xamarin project resource
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.iOS/Assets.xcassets/AppIcon.appiconset/Icon29.png,reference-xamarin-resource,Archived Xamarin project resource
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.iOS/Assets.xcassets/AppIcon.appiconset/Icon40.png,reference-xamarin-resource,Archived Xamarin project resource
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.iOS/Assets.xcassets/AppIcon.appiconset/Icon58.png,reference-xamarin-resource,Archived Xamarin project resource
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.iOS/Assets.xcassets/AppIcon.appiconset/Icon60.png,reference-xamarin-resource,Archived Xamarin project resource
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.iOS/Assets.xcassets/AppIcon.appiconset/Icon76.png,reference-xamarin-resource,Archived Xamarin project resource
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.iOS/Assets.xcassets/AppIcon.appiconset/Icon80.png,reference-xamarin-resource,Archived Xamarin project resource
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.iOS/Assets.xcassets/AppIcon.appiconset/Icon87.png,reference-xamarin-resource,Archived Xamarin project resource
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.iOS/Entitlements.plist,reference-xamarin,Archived Xamarin project source kept for before/after comparison
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.iOS/Info.plist,reference-xamarin,Archived Xamarin project source kept for before/after comparison
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.iOS/Main.cs,reference-xamarin,Archived Xamarin project source kept for before/after comparison
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.iOS/Properties/AssemblyInfo.cs,reference-xamarin,Archived Xamarin project source kept for before/after comparison
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.iOS/Renderers/PressableViewRenderer.cs,reference-xamarin,Archived Xamarin project source kept for before/after comparison
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.iOS/Resources/Default-568h@2x.png,reference-xamarin-resource,Archived Xamarin project resource
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.iOS/Resources/Default-Portrait.png,reference-xamarin-resource,Archived Xamarin project resource
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.iOS/Resources/Default-Portrait@2x.png,reference-xamarin-resource,Archived Xamarin project resource
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.iOS/Resources/Default.png,reference-xamarin-resource,Archived Xamarin project resource
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.iOS/Resources/Default@2x.png,reference-xamarin-resource,Archived Xamarin project resource
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.iOS/Resources/LaunchScreen.storyboard,reference-xamarin-resource,Archived Xamarin project resource
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.iOS/XamarinCustomRenderer.iOS.csproj,reference-xamarin-build,Archived Xamarin project descriptor (excluded from CI)
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/App.xaml,reference-xamarin,Archived Xamarin project source kept for before/after comparison
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/App.xaml.cs,reference-xamarin,Archived Xamarin project source kept for before/after comparison
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/AssemblyInfo.cs,reference-xamarin,Archived Xamarin project source kept for before/after comparison
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/Controls/PressableView.cs,reference-xamarin,Archived Xamarin project source kept for before/after comparison
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/MainPage.xaml,reference-xamarin,Archived Xamarin project source kept for before/after comparison
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/MainPage.xaml.cs,reference-xamarin,Archived Xamarin project source kept for before/after comparison
Upgrading/CustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer/XamarinCustomRenderer.csproj,reference-xamarin-build,Archived Xamarin project descriptor (excluded from CI)
Upgrading/README.md,documentation,Active sample documentation
